order_id,customer_id,customer_name,product_name,category,quantity,unit_price,order_date,status
ZPT100054,CUST3438,Rajesh Sinha,Lays Cream Onion 26g,Snacks,6,416.08,2024-02-14,Processing
ZPT100055,CUST3248,Tarun Banerjee,Ariel Washing Powder 500g,Cleaning,2,805.29,2023-06-03,Delivered
ZPT100056,CUST1209,Bhavna Yadav,Tropicana Guava 1L,Juices,2,571.83,2024-03-22,Returned
ZPT100057,CUST4544,Manish Tiwari,Fortune Rice 5kg,Staples,2,962.83,2023-04-29,Delivered
ZPT100058,CUST2644,Anita Dubey,India Gate Basmati 1kg,Staples,1,238.17,2024-04-20,Delivered
ZPT100059,CUST2537,Shreya Agarwal,Vim Dishwash Bar 200g,Cleaning,1,789.32,2023-11-23,Cancelled
ZPT100060,CUST4747,Mohit Bhatt,Good Day Cashew 87g,Biscuits,9,325.02,2023-04-05,Cancelled
ZPT100061,CUST1050,Tarun Banerjee,Nescafe Classic 50g,Beverages,7,930.1,2024-12-07,Delivered
ZPT100062,CUST1343,Harsh Malhotra,Pilsbury Maida 1kg,Staples,4,912.55,2023-10-18,Pending
ZPT100063,CUST4321,Swati Kulkarni,Hide & Seek Biscuits 100g,Biscuits,3,711.37,2024-06-13,Cancelled
ZPT100064,CUST2931,Meera Thomas,Paper Boat Aam Panna 250ml,Juices,10,677.89,2024-11-25,Delivered
ZPT100065,CUST4308,Vijay Kumar,Dove Shampoo 180ml,Personal Care,5,109.6,2023-09-24,Delivered
ZPT100066,CUST3862,Sneha Iyer,Dettol Soap 75g,Personal Care,1,870.53,2024-05-07,Pending
ZPT100067,CUST1604,Riya Desai,Good Day Cashew 87g,Biscuits,3,255.72,2024-09-07,Pending
ZPT100068,CUST4123,Priya Mehta,Britannia Bread 400g,Bakery,7,428.98,2023-04-10,Delivered
ZPT100069,CUST2734,Aarav Shah,Too Yumm Multigrain 60g,Snacks,7,381.87,2023-12-09,Processing
ZPT100070,CUST3819,Manish Tiwari,Lays Cream Onion 26g,Snacks,5,891.32,2023-07-24,Delivered
ZPT100071,CUST1847,Kiran Nair,Lays Cream Onion 26g,Snacks,8,752.2,2023-05-17,Pending
ZPT100072,CUST1637,Shreya Agarwal,MTR Poha 500g,Breakfast,7,333.15,2023-04-16,Cancelled
ZPT100073,CUST2295,Gaurav Kapoor,India Gate Basmati 1kg,Staples,8,931.33,2024-02-16,Delivered
ZPT100074,CUST3118,Shreya Agarwal,Saffola Gold Oil 1L,Oils,9,201.21,2024-04-30,Delivered
ZPT100075,CUST1151,Harsh Malhotra,Minute Maid Orange 1L,Juices,4,253.74,2023-11-09,Delivered
ZPT100076,CUST3253,Simran Kaur,Epigamia Greek Yogurt 90g,Dairy,2,337.68,2024-10-20,Delivered
ZPT100077,CUST1600,Pooja Reddy,Haldiram Bhujia 200g,Snacks,2,651.86,2023-12-04,Delivered
ZPT100078,CUST2982,Suresh Rao,Aashirvaad Atta 5kg,Staples,6,369.77,2023-09-02,Returned
ZPT100079,CUST2678,Preeti Trivedi,Epigamia Greek Yogurt 90g,Dairy,2,917.1,2024-06-13,Delivered
ZPT100080,CUST4920,Riya Desai,Sunfeast Dark Fantasy 75g,Biscuits,5,767.42,2024-07-30,Returned
ZPT100081,CUST1059,Rahul Joshi,Saffola Gold Oil 1L,Oils,4,538.28,2024-02-17,Pending
ZPT100082,CUST2227,Ananya Singh,Fortune Sunflower Oil 1L,Oils,9,502.18,2024-03-25,Processing
ZPT100083,CUST2709,Sanjay Das,Bournvita 500g,Beverages,8,855.69,2024-05-24,Delivered
ZPT100084,CUST4766,Mohit Bhatt,Fortune Rice 5kg,Staples,8,660.22,2024-04-06,Delivered
ZPT100085,CUST3572,Kiran Nair,Saffola Gold Oil 1L,Oils,8,644.04,2023-08-03,Cancelled
ZPT100086,CUST4150,Rohan Verma,MTR Poha 500g,Breakfast,5,950.57,2024-06-03,Delivered
ZPT100087,CUST2937,Kavya Nair,Dettol Soap 75g,Personal Care,1,229.85,2023-01-14,Returned
ZPT100088,CUST3834,Rohan Verma,India Gate Basmati 1kg,Staples,4,77.46,2023-10-05,Delivered
ZPT100089,CUST3488,Neha Gupta,Saffola Gold Oil 1L,Oils,6,756.68,2023-08-18,Returned
ZPT100090,CUST3506,Sunita Rawat,Surf Excel 1kg,Cleaning,2,111.06,2023-05-05,Delivered
ZPT100091,CUST1776,Anjali Menon,Lay's Classic Chips 26g,Snacks,10,268.85,2024-03-22,Returned
ZPT100092,CUST2206,Rahul Joshi,Amul Butter 500g,Dairy,3,414.39,2024-02-18,Returned
ZPT100093,CUST3552,Tarun Banerjee,Paper Boat Aam Panna 250ml,Juices,2,929.95,2023-04-14,Cancelled
ZPT100094,CUST2172,Nisha Pandey,Britannia Bread 400g,Bakery,2,289.25,2024-07-29,Cancelled
ZPT100095,CUST2216,Nikhil Chopra,Tropicana Guava 1L,Juices,6,520.69,2023-08-20,Delivered
ZPT100096,CUST1427,Mohit Bhatt,Tropicana Guava 1L,Juices,5,74.71,2024-11-19,Delivered
ZPT100097,CUST2013,Riya Desai,MTR Poha 500g,Breakfast,2,604.17,2023-05-10,Delivered
ZPT100098,CUST3340,Kavya Nair,Britannia Bread 400g,Bakery,8,974.43,2024-02-06,Returned
ZPT100099,CUST3170,Priya Mehta,Harpic Toilet Cleaner 500ml,Cleaning,8,411.59,2024-07-27,Cancelled
ZPT100100,CUST1598,Mohit Bhatt,Aashirvaad Atta 5kg,Staples,6,274.58,2023-06-01,Returned
ZPT100101,CUST4024,Swati Kulkarni,Mother Dairy Curd 400g,Dairy,6,536.55,2023-05-05,Pending
ZPT100102,CUST2900,Preeti Trivedi,Maggi Noodles 70g,Instant Food,8,506.43,2023-10-02,Delivered
ZPT100103,CUST3208,Anita Dubey,Nescafe Classic 50g,Beverages,2,404.72,2024-03-13,Delivered
ZPT100104,CUST2187,Deepak Mishra,Saffola Gold Oil 1L,Oils,1,725.72,2024-06-17,Delivered
ZPT100105,CUST4221,Priya Mehta,Too Yumm Multigrain 60g,Snacks,1,776.45,2024-10-12,Delivered
ZPT100106,CUST2977,Pooja Reddy,Sprite 750ml,Cold Drinks,9,739.53,2024-05-16,Delivered
ZPT100107,CUST3187,Rohan Verma,Red Bull 250ml,Energy Drinks,7,732.8,2023-03-07,Delivered
ZPT100108,CUST1958,Harsh Malhotra,Dettol Soap 75g,Personal Care,7,291.14,2024-11-18,Delivered
ZPT100109,CUST2758,Lakshmi Bose,Too Yumm Multigrain 60g,Snacks,2,733.11,2024-11-20,Delivered
ZPT100110,CUST1203,Harsh Malhotra,Hide & Seek Biscuits 100g,Biscuits,5,198.61,2023-08-05,Delivered
ZPT100111,CUST1639,Rahul Joshi,Red Bull 250ml,Energy Drinks,3,463.44,2024-12-04,Delivered
ZPT100112,CUST4622,Anjali Menon,Amul Milk 1L,Dairy,1,678.48,2024-12-14,Processing
ZPT100113,CUST3316,Deepak Mishra,India Gate Basmati 1kg,Staples,10,294.79,2023-04-08,Returned
ZPT100114,CUST4226,Rohan Verma,Paper Boat Aam Panna 250ml,Juices,4,580.65,2023-05-13,Delivered
ZPT100115,CUST1808,Kavya Nair,Colgate Toothpaste 200g,Personal Care,8,943.49,2023-01-05,Pending
ZPT100116,CUST4562,Nikhil Chopra,Colgate Toothpaste 200g,Personal Care,7,419.09,2024-12-11,Delivered
ZPT100117,CUST4321,Arjun Patel,Britannia Bread 400g,Bakery,2,47.75,2023-08-13,Returned
ZPT100118,CUST4457,Bhavna Yadav,Sprite 750ml,Cold Drinks,7,237.79,2024-04-19,Cancelled
ZPT100119,CUST4952,Tarun Banerjee,Sprite 750ml,Cold Drinks,6,870.81,2024-10-08,Delivered
ZPT100120,CUST1840,Farhan Qureshi,MTR Poha 500g,Breakfast,7,495.12,2024-04-02,Delivered
ZPT100121,CUST3757,Lakshmi Bose,Real Fruit Juice 1L,Juices,7,868.41,2024-02-22,Pending
ZPT100122,CUST2404,Divya Pillai,Kellogg's Corn Flakes 250g,Breakfast,5,472.24,2023-12-02,Delivered
ZPT100123,CUST1087,Kiran Nair,Nescafe Classic 50g,Beverages,6,79.66,2023-01-10,Processing
ZPT100124,CUST2402,Sneha Iyer,Fortune Rice 5kg,Staples,4,290.9,2023-03-09,Delivered
ZPT100125,CUST3988,Priya Mehta,Fortune Sunflower Oil 1L,Oils,6,126.88,2023-11-07,Delivered
ZPT100126,CUST1343,Meera Thomas,Harpic Toilet Cleaner 500ml,Cleaning,9,828.37,2024-08-29,Delivered
ZPT100127,CUST1406,Vijay Kumar,Britannia Bread 400g,Bakery,4,996.27,2024-05-29,Cancelled
ZPT100128,CUST1448,Kiran Nair,Amul Milk 1L,Dairy,7,184.36,2024-05-22,Delivered
ZPT100129,CUST4323,Preeti Trivedi,Hide & Seek Biscuits 100g,Biscuits,8,387.09,2023-12-05,Delivered
ZPT100130,CUST1895,Preeti Trivedi,Paper Boat Aam Panna 250ml,Juices,3,502.25,2023-10-05,Cancelled
ZPT100131,CUST2649,Tarun Banerjee,Fortune Rice 5kg,Staples,10,188.38,2023-05-13,Delivered
ZPT100132,CUST3452,Mohit Bhatt,Amul Butter 500g,Dairy,7,820.63,2024-08-09,Returned
ZPT100133,CUST1182,Nikhil Chopra,Amul Butter 500g,Dairy,4,782.9,2023-11-28,Delivered
ZPT100134,CUST2384,Varun Saxena,Kellogg's Corn Flakes 250g,Breakfast,2,710.02,2023-06-04,Pending
ZPT100135,CUST4339,Neha Gupta,Too Yumm Multigrain 60g,Snacks,1,140.63,2024-12-07,Delivered
ZPT100136,CUST2784,Kavya Nair,Nescafe Classic 50g,Beverages,8,49.48,2024-01-16,Processing
ZPT100137,CUST2787,Aarav Shah,Saffola Gold Oil 1L,Oils,1,312.86,2024-10-13,Delivered
ZPT100138,CUST4291,Aditi Choudhary,Epigamia Greek Yogurt 90g,Dairy,4,706.99,2024-08-29,Delivered
ZPT100139,CUST2910,Bhavna Yadav,Good Day Cashew 87g,Biscuits,2,467.35,2024-09-16,Delivered
ZPT100140,CUST4832,Nisha Pandey,Harpic Toilet Cleaner 500ml,Cleaning,4,725.55,2023-10-21,Delivered
ZPT100141,CUST4173,Lakshmi Bose,Colgate Toothpaste 200g,Personal Care,7,521.6,2023-05-24,Delivered
ZPT100142,CUST2522,Sunita Rawat,Kellogg's Corn Flakes 250g,Breakfast,1,447.26,2024-08-24,Pending
ZPT100143,CUST4104,Rohan Verma,Epigamia Greek Yogurt 90g,Dairy,9,831.24,2023-12-03,Returned
ZPT100144,CUST4172,Sunita Rawat,Dettol Soap 75g,Personal Care,6,552.38,2023-04-15,Delivered
ZPT100145,CUST3538,Sunita Rawat,Coca-Cola 1.25L,Cold Drinks,9,805.17,2024-04-23,Pending
ZPT100146,CUST1223,Neha Gupta,Epigamia Greek Yogurt 90g,Dairy,4,954.95,2024-01-20,Delivered
ZPT100147,CUST2725,Sunita Rawat,Parle-G Biscuits 100g,Biscuits,3,423.9,2023-03-12,Delivered
ZPT100148,CUST3452,Suresh Rao,Dettol Soap 75g,Personal Care,9,647.71,2023-08-15,Cancelled
ZPT100149,CUST2571,Shreya Agarwal,Tropicana Guava 1L,Juices,4,904.06,2024-09-06,Processing
ZPT100150,CUST3334,Kiran Nair,Sunfeast Dark Fantasy 75g,Biscuits,1,939.93,2024-12-16,Delivered
ZPT100151,CUST4415,Shreya Agarwal,Tata Salt 1kg,Staples,3,945.67,2024-04-08,Processing
ZPT100152,CUST3786,Shreya Agarwal,Amul Milk 1L,Dairy,3,731.27,2024-11-23,Pending
ZPT100153,CUST4524,Sneha Iyer,Tropicana Guava 1L,Juices,6,396.84,2024-01-01,Cancelled
ZPT100154,CUST2869,Tarun Banerjee,MTR Poha 500g,Breakfast,7,226.89,2023-05-06,Delivered
ZPT100155,CUST1728,Rajesh Sinha,Parle-G Biscuits 100g,Biscuits,4,229.5,2023-01-07,Delivered
ZPT100156,CUST2451,Bhavna Yadav,Britannia Bread 400g,Bakery,8,17.18,2023-06-07,Returned
ZPT100157,CUST3493,Simran Kaur,Ariel Washing Powder 500g,Cleaning,2,610.43,2023-09-10,Delivered
ZPT100158,CUST3459,Amit Sharma,Fortune Rice 5kg,Staples,10,15.42,2023-10-12,Cancelled
ZPT100159,CUST2728,Manish Tiwari,Britannia Bread 400g,Bakery,5,912.74,2023-12-01,Delivered
ZPT100160,CUST1575,Swati Kulkarni,Good Day Cashew 87g,Biscuits,4,86.43,2024-03-06,Returned
ZPT100161,CUST4975,Aditi Choudhary,Britannia Bread 400g,Bakery,3,950.84,2024-09-23,Delivered
ZPT100162,CUST1280,Bhavna Yadav,Surf Excel 1kg,Cleaning,5,484.64,2024-08-03,Cancelled
ZPT100163,CUST4187,Rohan Verma,Epigamia Greek Yogurt 90g,Dairy,9,817.49,2023-06-24,Returned
ZPT100164,CUST2533,Ananya Singh,Sprite 750ml,Cold Drinks,5,747.26,2023-04-24,Processing
ZPT100165,CUST3635,Lakshmi Bose,MTR Poha 500g,Breakfast,10,797.55,2024-12-16,Returned
ZPT100166,CUST2444,Pranav Jain,Real Fruit Juice 1L,Juices,10,586.73,2024-03-27,Returned
ZPT100167,CUST4508,Vijay Kumar,Tropicana Guava 1L,Juices,1,848.8,2024-11-10,Delivered
ZPT100168,CUST4930,Preeti Trivedi,Bournvita 500g,Beverages,2,809.46,2023-05-04,Delivered
ZPT100169,CUST3673,Kavya Nair,Minute Maid Orange 1L,Juices,2,946.34,2023-11-30,Delivered
ZPT100170,CUST3261,Sanjay Das,Tropicana Guava 1L,Juices,1,312.05,2023-10-31,Delivered
ZPT100171,CUST2549,Aditi Choudhary,Surf Excel 1kg,Cleaning,1,785.21,2024-02-21,Pending
ZPT100172,CUST2051,Arjun Patel,Lays Cream Onion 26g,Snacks,8,10.89,2023-11-29,Pending
ZPT100173,CUST3250,Tarun Banerjee,Vim Dishwash Bar 200g,Cleaning,4,284.35,2024-01-13,Returned
ZPT100174,CUST1057,Arjun Patel,India Gate Basmati 1kg,Staples,10,62.22,2023-08-20,Delivered
ZPT100175,CUST4564,Riya Desai,Sunfeast Dark Fantasy 75g,Biscuits,7,896.72,2024-10-22,Returned
ZPT100176,CUST3680,Kiran Nair,Dettol Soap 75g,Personal Care,8,730.35,2024-08-28,Returned
ZPT100177,CUST1254,Vijay Kumar,Amul Butter 500g,Dairy,3,523.86,2024-12-07,Delivered
ZPT100178,CUST2872,Manish Tiwari,Colgate Toothpaste 200g,Personal Care,1,654.29,2023-09-20,Returned
ZPT100179,CUST1472,Rahul Joshi,Real Fruit Juice 1L,Juices,7,32.68,2024-10-19,Processing
ZPT100180,CUST3024,Ananya Singh,Fortune Rice 5kg,Staples,5,247.61,2023-02-25,Processing
ZPT100181,CUST3672,Simran Kaur,Kellogg's Corn Flakes 250g,Breakfast,5,594.73,2024-01-10,Delivered
ZPT100182,CUST2040,Aditi Choudhary,Aashirvaad Atta 5kg,Staples,4,726.25,2024-04-05,Delivered
ZPT100183,CUST2210,Pooja Reddy,Harpic Toilet Cleaner 500ml,Cleaning,4,183.13,2024-10-15,Delivered
ZPT100184,CUST4818,Preeti Trivedi,Sprite 750ml,Cold Drinks,5,989.38,2024-03-30,Delivered
ZPT100185,CUST3184,Nisha Pandey,Bournvita 500g,Beverages,7,970.69,2023-11-17,Delivered
ZPT100186,CUST3192,Shreya Agarwal,MTR Poha 500g,Breakfast,6,439.29,2024-04-24,Delivered
ZPT100187,CUST4171,Kiran Nair,Harpic Toilet Cleaner 500ml,Cleaning,3,975.79,2023-09-30,Delivered
ZPT100188,CUST1333,Mohit Bhatt,Coca-Cola 1.25L,Cold Drinks,10,829.57,2023-08-18,Delivered
ZPT100189,CUST3408,Farhan Qureshi,Ariel Washing Powder 500g,Cleaning,10,563.25,2024-03-08,Delivered
ZPT100190,CUST1296,Harsh Malhotra,Tata Salt 1kg,Staples,7,937.73,2023-05-20,Delivered
ZPT100191,CUST2853,Shreya Agarwal,Dove Shampoo 180ml,Personal Care,1,333.65,2023-08-06,Delivered
ZPT100192,CUST3096,Kiran Nair,Coca-Cola 1.25L,Cold Drinks,4,302.59,2023-06-06,Pending
ZPT100193,CUST3851,Kiran Nair,Fortune Sunflower Oil 1L,Oils,6,706.29,2023-07-14,Delivered
ZPT100194,CUST1548,Harsh Malhotra,Good Day Cashew 87g,Biscuits,5,985.65,2023-06-14,Pending
ZPT100195,CUST4684,Suresh Rao,Good Day Cashew 87g,Biscuits,9,135.72,2024-09-29,Returned
ZPT100196,CUST3729,Aarav Shah,Parle-G Biscuits 100g,Biscuits,3,164.39,2023-05-17,Delivered
ZPT100197,CUST3855,Nisha Pandey,Tata Salt 1kg,Staples,8,296.6,2023-05-08,Cancelled
ZPT100198,CUST3492,Kavya Nair,Pilsbury Maida 1kg,Staples,3,753.45,2023-01-23,Pending
ZPT100199,CUST2967,Sunita Rawat,Bournvita 500g,Beverages,7,341.39,2023-05-05,Cancelled
ZPT100200,CUST2655,Harsh Malhotra,Epigamia Greek Yogurt 90g,Dairy,9,829.53,2024-06-06,Delivered
ZPT100201,CUST2049,Varun Saxena,Fortune Sunflower Oil 1L,Oils,2,992.24,2024-02-01,Processing
ZPT100202,CUST3028,Deepak Mishra,Mother Dairy Curd 400g,Dairy,7,72.77,2024-07-08,Delivered
ZPT100203,CUST1122,Nikhil Chopra,Tata Salt 1kg,Staples,3,134.98,2024-03-24,Processing
ZPT100204,CUST1711,Anjali Menon,Dettol Soap 75g,Personal Care,10,585.62,2023-07-01,Delivered
ZPT100205,CUST4169,Arjun Patel,Amul Butter 500g,Dairy,5,143.77,2023-10-06,Pending
ZPT100206,CUST3260,Rajesh Sinha,Bournvita 500g,Beverages,10,464.95,2023-02-08,Delivered
ZPT100207,CUST1158,Lakshmi Bose,Red Bull 250ml,Energy Drinks,6,339.05,2023-08-11,Delivered
ZPT100208,CUST1567,Sanjay Das,Epigamia Greek Yogurt 90g,Dairy,10,108.16,2023-02-04,Delivered
ZPT100209,CUST1697,Vijay Kumar,Mother Dairy Curd 400g,Dairy,10,80.71,2024-05-15,Delivered
ZPT100210,CUST3300,Lakshmi Bose,Surf Excel 1kg,Cleaning,2,594.16,2024-04-21,Delivered
ZPT100211,CUST1296,Amit Sharma,Minute Maid Orange 1L,Juices,9,816.82,2024-03-04,Processing
ZPT100212,CUST4304,Rajesh Sinha,Paper Boat Aam Panna 250ml,Juices,10,506.8,2023-06-02,Returned
ZPT100213,CUST4055,Rohan Verma,Dettol Soap 75g,Personal Care,8,599.76,2024-09-27,Processing
ZPT100214,CUST2521,Anita Dubey,Haldiram Bhujia 200g,Snacks,2,306.27,2024-12-05,Pending
ZPT100215,CUST4423,Amit Sharma,MTR Poha 500g,Breakfast,10,226.98,2023-08-21,Delivered
ZPT100216,CUST4863,Bhavna Yadav,Epigamia Greek Yogurt 90g,Dairy,10,247.46,2023-03-02,Delivered
ZPT100217,CUST2232,Harsh Malhotra,Fortune Rice 5kg,Staples,3,111.55,2023-01-04,Processing
ZPT100218,CUST2475,Sunita Rawat,India Gate Basmati 1kg,Staples,7,21.62,2024-02-17,Delivered
ZPT100219,CUST1004,Manish Tiwari,Ariel Washing Powder 500g,Cleaning,6,918.93,2023-11-14,Pending
ZPT100220,CUST4466,Preeti Trivedi,Pilsbury Maida 1kg,Staples,4,242.62,2024-08-22,Cancelled
ZPT100221,CUST3558,Bhavna Yadav,Too Yumm Multigrain 60g,Snacks,2,924.33,2024-05-12,Delivered
ZPT100222,CUST4005,Manish Tiwari,India Gate Basmati 1kg,Staples,8,594.18,2023-09-11,Cancelled
ZPT100223,CUST3779,Sunita Rawat,Mother Dairy Curd 400g,Dairy,6,769.6,2024-02-21,Pending
ZPT100224,CUST2287,Suresh Rao,Pilsbury Maida 1kg,Staples,9,522.38,2023-01-26,Cancelled
ZPT100225,CUST4608,Aarav Shah,Lays Cream Onion 26g,Snacks,6,621.52,2023-06-11,Delivered
ZPT100226,CUST3438,Pooja Reddy,Tata Salt 1kg,Staples,4,330.74,2023-03-06,Cancelled
ZPT100227,CUST3490,Neha Gupta,Ariel Washing Powder 500g,Cleaning,2,505.19,2024-03-06,Returned
ZPT100228,CUST1899,Pooja Reddy,Dettol Soap 75g,Personal Care,9,72.55,2023-08-21,Pending
ZPT100229,CUST2402,Farhan Qureshi,Epigamia Greek Yogurt 90g,Dairy,5,170.38,2023-10-15,Pending
ZPT100230,CUST4681,Lakshmi Bose,Bournvita 500g,Beverages,1,985.5,2023-07-19,Pending
ZPT100231,CUST4804,Farhan Qureshi,Coca-Cola 1.25L,Cold Drinks,10,746.93,2023-03-31,Delivered
ZPT100232,CUST3624,Farhan Qureshi,Fortune Sunflower Oil 1L,Oils,1,621.37,2023-03-11,Cancelled
ZPT100233,CUST1586,Manish Tiwari,Red Bull 250ml,Energy Drinks,8,907.07,2023-04-11,Pending
ZPT100234,CUST3643,Swati Kulkarni,Vim Dishwash Bar 200g,Cleaning,3,596.91,2024-03-08,Delivered
ZPT100235,CUST1638,Sunita Rawat,Amul Butter 500g,Dairy,7,670.57,2024-09-23,Pending
ZPT100236,CUST3328,Swati Kulkarni,Hide & Seek Biscuits 100g,Biscuits,7,836.6,2024-02-21,Delivered
ZPT100237,CUST3646,Divya Pillai,Britannia Bread 400g,Bakery,3,444.56,2023-03-29,Delivered
ZPT100238,CUST3061,Sunita Rawat,Minute Maid Orange 1L,Juices,8,671.14,2024-09-21,Delivered
ZPT100239,CUST1510,Simran Kaur,MTR Poha 500g,Breakfast,6,717.93,2023-07-01,Processing
ZPT100240,CUST4690,Sunita Rawat,Epigamia Greek Yogurt 90g,Dairy,9,613.88,2023-06-08,Delivered
